draft_year,pick,team,player,college,years,gp,mp,pts,trb,ast,fg%,3p%,ft%,mpg,ppg,rpg,apg,ws,ws_58,bpm,vorp,all_stars,all_nba_1,all_nba_2,all_nba_3,mvp_candidacy
2009,4,SAC,Tyreke Evans,University of Memphis,8,473,15233,7631,2254,2417,0.444,0.295,0.757,32.2,16.1,4.8,5.1,23.9,0.075,0.8,10.9,0,0,0,0,0
2009,5,MIN,Ricky Rubio,,6,353,11217,3653,1498,2991,0.375,0.315,0.83,31.8,10.3,4.2,8.5,23.2,0.099,1.3,9.2,0,0,0,0,0
2009,6,MIN,Jonny Flynn,Syracuse University,3,163,3738,1504,307,634,0.4,0.338,0.809,22.9,9.2,1.9,3.9,-1.1,-0.015,-4.9,-2.7,0,0,0,0,0
2009,7,GSW,Stephen Curry,Davidson College,8,574,19897,13088,2502,3917,0.476,0.438,0.901,34.7,22.8,4.4,6.8,84.2,0.203,6.3,41.8,4,2,2,0,2
2009,8,NYK,Jordan Hill,University of Arizona,8,409,7692,3232,2389,322,0.497,0.136,0.699,18.8,7.9,5.8,0.8,16.4,0.102,-2,0,0,0,0,0,0
2009,9,TOR,DeMar DeRozan,University of Southern California,8,595,20275,11456,2424,1661,0.446,0.281,0.828,34.1,19.3,4.1,2.8,44.4,0.105,-0.9,5.5,3,0,0,1,0
2009,10,MIL,Brandon Jennings,,8,541,16639,7728,1628,3107,0.388,0.346,0.795,30.8,14.3,3,5.7,29.8,0.086,0.5,10.5,0,0,0,0,0
2009,11,NJN,Terrence Williams,University of Louisville,4,153,2922,1085,545,364,0.412,0.317,0.659,19.1,7.1,3.6,2.4,-0.2,-0.004,-3.8,-1.4,0,0,0,0,0
2009,12,CHA,Gerald Henderson,Duke University,8,535,13854,5987,1716,1009,0.44,0.327,0.793,25.9,11.2,3.2,1.9,18.3,0.063,-2.2,-0.9,0,0,0,0,0
2009,13,IND,Tyler Hansbrough,University of North Carolina,7,428,7233,2881,1808,181,0.439,0.136,0.738,16.9,6.7,4.2,0.4,20.2,0.134,-2.5,-1,0,0,0,0,0
2009,14,PHO,Earl Clark,University of Louisville,6,261,3630,1138,778,134,0.403,0.328,0.664,13.9,4.4,3,0.5,2.9,0.038,-3.6,-1.5,0,0,0,0,0
2010,1,WAS,John Wall,University of Kentucky,7,500,18031,9419,2217,4610,0.433,0.321,0.791,36.1,18.8,4.4,9.2,40.5,0.108,2.5,20.3,4,0,0,1,0
2010,2,PHI,Evan Turner,Ohio State University,7,534,15048,5619,2668,1968,0.431,0.298,0.782,28.2,10.5,5,3.7,15.9,0.051,-2,-0.1,0,0,0,0,0
2010,3,NJN,Derrick Favors,Georgia Institute of Technology,7,479,12348,5479,3435,510,0.51,0.154,0.664,25.8,11.4,7.2,1.1,33.5,0.13,0.8,8.7,0,0,0,0,0
2010,4,MIN,Wesley Johnson,Syracuse University,7,497,11452,3704,1636,561,0.406,0.337,0.743,23,7.5,3.3,1.1,9,0.038,-1.2,2.3,0,0,0,0,0
2010,5,SAC,DeMarcus Cousins,University of Kentucky,7,487,15570,10308,5267,1468,0.459,0.33,0.736,32,21.2,10.8,3,36.9,0.114,2.6,18.1,3,0,2,0,0
